Electrode,Weight
POL LITG7-Ref,1942.9808706335764
POL LaTh8-Ref,1933.594810758845
POL LPHG8-Ref-0,-1930.1186227717235
POL RMCC2-Ref-0,1929.4591104809758
POL LaTH13-Ref-1,1928.4471869407753
POL LOFC6-Ref-0,1916.195184232903
POL LMCC12-Ref-0,1909.1326456392292
POL LRMD5-Ref-0,1908.4459184208824
POL LMCC10-Ref-0,1908.1930700521368
POL RsCC10-Ref,1905.4271756147796
POL RMCC3-Ref-0,1901.7372281009714
POL RaTH11-Ref-0,-1898.7999559470259
POL LAMY3-Ref-3,1897.712139480715
POL LRCS1-Ref,1893.92566408036
POL RaTh11-Ref,1891.5290582926211
POL LaTH13-Ref-0,1890.1408653924175
POL RaTH1-Ref-1,1874.4967586271405
POL LMCC16-Ref-0,1872.728713554865
POL LMiC9-Ref,1864.8757579897454
POL RsCC5-Ref,1858.503027522667
POL LMiC6-Ref,1853.2783519807608
POL RHIP10-Ref-1,1847.3842383538108
POL LaTH14-Ref-1,1842.2394191948927
POL RPIN3-Ref-1,1840.60410103204
POL RPIN12-Ref-1,-1840.1921171492784
POL RAMY2-Ref-1,1831.016511254682
POL RaTH10-Ref-1,-1828.9312395534082
POL LSCC3-Ref,1826.9794078667467
POL RaIN8-Ref,1817.599638885227
POL LpFG1-Ref,-1813.7159083076444
POL LPHG8-Ref-1,1808.3108864423791
POL RMCC11-Ref-1,1803.4689495491139
POL LIL3-Ref,1791.9952917939559
POL LMiC1-Ref,1790.8791433664544
POL LPCn10-Ref,1789.1317136650312
POL RHIP1-Ref-0,1779.8367372996122
POL LHiP5-Ref,-1776.285426893101
POL LRCS11-Ref,1775.6250883361893
POL RpTH2-Ref-0,1766.3106687552638
POL LvPH6-Ref,1749.3342487898065
POL RAMY4-Ref-3,1744.9624479388515
POL LSU2-Ref,1742.8664216707712
POL LPCn11-Ref,1742.543126238851
POL LAMY7-Ref-3,1734.428703271937
POL LPHG3-Ref-0,1731.002645109722
POL RpTH4-Ref-1,1724.1329456911735
POL LOfC5-Ref,1722.165124119189
POL RPIN2-Ref-0,1720.682851372705
POL LvPH2-Ref,1715.3049289712121
POL LOFC11-Ref-1,1701.3325072214916
POL RaIN7-Ref,1700.3326400481285
POL RHIP5-Ref-0,1697.937958154983
POL RAMY12-Ref-2,-1696.945745613117
POL LaTH9-Ref-2,1696.5952412642532
POL LSCC4-Ref,1688.6614665615725
POL RPCn6-Ref,1684.6661370215265
POL RsCC4-Ref,1680.7640764965722
POL RpTh4-Ref,1678.985844215437
POL LaTH12-Ref-1,-1668.1221666419128
POL RpTH12-Ref-1,1664.9565985982197
POL RPIN8-Ref-0,1663.245614572478
POL LOfC4-Ref,1652.9517909980336
POL LRMD2-Ref-0,1652.4972129370144
POL LpFG2-Ref,-1652.4666564795873
POL RMiC8-Ref,1644.307286316478
POL LRMD3-Ref-0,1643.2691534236517
POL LaTH14-Ref-0,1629.8677283150616
POL RPIN16-Ref-0,1624.7287350407532
POL LaTH11-Ref-0,1622.4691863981566
POL LPHG5-Ref-1,1621.7094488701757
POL LaTh4-Ref,1617.0004049512565
POL LOFC2-Ref-1,1598.5309009223347
POL LPHG9-Ref-0,-1593.6609883234657
POL LRCS7-Ref,1593.0278053002876
POL LMiC10-Ref,1581.7711594121859
POL LaTH3-Ref-1,1570.799101694859
POL LITG9-Ref,1558.8779941804628
POL LOfC1-Ref,1551.1393414346946
POL LAMY1-Ref-2,1550.6851511685877
POL LHiP11-Ref,-1534.9823712651362
POL LPIN1-Ref-0,1529.5743128054337
POL LACC6-Ref,1526.1329262358156
POL LaTH8-Ref-0,1524.7389723340762
POL AINS11-Ref,-1523.357828328327
POL RPCn8-Ref,-1521.3536619429458
POL RaTH6-Ref-1,1518.692659192017
POL RpTh1-Ref,1513.4305240832637
POL LSCC2-Ref,1512.218888240758
POL RpTH14-Ref-0,-1497.517110961758
POL LPCn5-Ref,1487.651299684008
POL LACC5-Ref,1484.1331759303307
POL RaTH5-Ref-1,1471.0103517654097
POL LpTH2-Ref-0,1468.8621582877706
POL LAMY2-Ref-0,1468.0303832718607
POL RAMY4-Ref-2,1464.9738384369768
POL RMCC11-Ref-0,1464.7842947096563
POL LvPH5-Ref,1460.0699247260477
POL RaTh2-Ref,1446.95257210302
POL RPCn3-Ref,1445.844072841306
